Index,Block_0,Block_0,Block_1,Block_1,Block_2,Block_2,Block_3,Block_3,Block_4,Block_4,Block_5,Block_5,Block_6,Block_6,Block_7,Block_7,Block_8,Block_8,Block_9,Block_9,Block_10,Block_10,Block_11,Block_11,Block_12,Block_12,Block_13,Block_13,Block_14,Block_14,Block_15,Block_15,Block_16,Block_16,Block_17,Block_17,Block_18,Block_18,Block_19,Block_19,Block_20,Block_20,Block_21,Block_21,Block_22,Block_22,Block_23,Block_23,Block_24,Block_24,Block_25,Block_25,Block_26,Block_26,Block_27,Block_27,Block_28,Block_28,Block_29,Block_29,Block_30,Block_30,Block_31,Block_31
0
1,3,4,0,7,0,3,4,7,2,7,0,4,4,7,1,5,2,7,2,7,2,5,0,5,2,6,3,5,2,5,4,5,1,2,2,5,4,7,3,4,5,7,2,7,4,6,0,5,4,7,0,2,2,6,2,6,4,7,2,6,0,5,1,7,4,6,0,4,1,4,1,2,0,2,0,7,0,2,5,6
2
3,0,3,0,7,0,3,4,7,2,7,0,4,4,7,5,7,1,7,2,7,0,5,0,5,2,6,3,5,0,2,0,4,1,2,0,2,4,7,3,4,5,7,2,7,4,6,1,5,4,7,0,2,0,6,0,6,4,7,2,6,0,5,1,6,4,6,0,4,1,7,1,2,0,2,0,7,2,4,5,6
4,3,4,5,7,2,4,4,7,2,4,0,4,0,4,5,7,1,7,2,7,0,5,3,5,2,7,3,5,0,2,4,5,1,2,0,2,4,7,3,4,2,5,2,7,4,6,3,5,4,7,0,2,2,6,3,6,3,4,2,6,0,5,0,7,4,6,2,4,1,4,1,2,2,6,0,7,2,7,5,6
5,3,6,0,4,0,3,6,7,2,4,0,4,3,4,3,5,5,7,2,7,0,2,0,5,2,5,4,5,0,2,0,4,1,2,2,3,4,7,3,4,5,7,5,7,4,6,2,5,4,7,2,4,0,6,3,6,3,7,0,1,0,5,1,3,4,7,0,4,1,4,1,2,0,2,0,2,2,5,5,6
6,3,4,2,7,0,2,4,7,2,4,0,4,4,7,5,7,1,5,2,7,0,5,0,5,2,6,3,5,0,2,0,4,1,2,0,2,4,7,3,4,2,5,2,7,4,6,2,5,4,7,0,2,2,6,0,6,3,4,2,6,0,5,1,7,4,6,0,4,1,4,1,2,2,6,0,2,2,4,5,6
7,0,3,2,7,0,2,4,7,2,4,0,4,3,4,5,7,1,4,2,7,0,5,0,5,2,6,3,5,0,2,0,4,1,2,0,2,4,7,3,4,2,5,2,7,4,6,1,5,4,7,0,2,0,6,0,6,3,4,1,2,0,5,6,7,4,6,0,4,1,7,0,2,0,2,0,2,2,4,5,6
8,3,6,0,4,0,3,6,7,2,4,0,4,3,4,3,5,5,7,2,7,0,2,0,5,2,5,4,5,0,2,2,4,1,2,2,3,4,7,3,4,5,7,5,7,4,6,2,5,4,7,2,3,0,6,3,6,3,7,0,1,0,5,1,3,4,7,0,4,1,4,1,2,0,2,0,2,2,5,5,6
9,3,4,2,7,0,2,4,7,2,4,0,4,4,7,5,7,1,5,2,7,0,5,0,5,2,6,3,5,0,2,0,4,1,2,0,2,4,7,3,4,2,5,2,7,4,6,2,5,4,7,0,2,2,6,0,6,3,4,1,2,0,5,1,7,4,6,0,4,1,4,1,2,2,6,0,2,2,5,5,6
10,3,6,0,4,0,3,6,7,2,4,0,4,3,4,5,7,5,7,2,7,0,2,0,5,2,6,4,5,0,2,2,4,1,2,2,3,4,7,3,4,5,7,5,7,4,6,2,5,4,7,2,3,0,6,3,6,3,7,0,1,0,5,1,3,4,7,2,4,1,4,1,2,0,2,0,2,0,5,6,7
